BrainScannerFolder,VideoFile,FPS,StartMin,StartSec,EndMin,EndSec,Notes,StartVolume,EndVolume
/tigress/LEIFER/PanNeuronal/2017/20170610/BrainScanner20170610_105634/,/tigress/LEIFER/PanNeuronal/2017/20170610/BrainScanner20170610_105634/LowMagBrain20170610_105532/cam1.avi,30,13,21,13,57,,2887,3016
/tigress/LEIFER/PanNeuronal/2017/20170610/BrainScanner20170610_105634/,/tigress/LEIFER/PanNeuronal/2017/20170610/BrainScanner20170610_105634/LowMagBrain20170610_105532/cam1.avi,30,13,57,14,28,,3016,3128
/tigress/LEIFER/PanNeuronal/2017/20170610/BrainScanner20170610_105634/,/tigress/LEIFER/PanNeuronal/2017/20170610/BrainScanner20170610_105634/LowMagBrain20170610_105532/cam1.avi,30,16,21,17,8,,3536,3705
/tigress/LEIFER/PanNeuronal/2017/20170610/BrainScanner20170610_105634/,/tigress/LEIFER/PanNeuronal/2017/20170610/BrainScanner20170610_105634/LowMagBrain20170610_105532/cam1.avi,30,17,8,18,0,,3705,3892
/tigress/LEIFER/PanNeuronal/2018/20180327/BrainScanner20180327_152059/,/tigress/LEIFER/PanNeuronal/2018/20180327/BrainScanner20180327_152059/LowMagBrain20180327_151539/cam1.avi,30.00003,5,25,5,53,CHIP,1169,1270
/tigress/LEIFER/PanNeuronal/2018/20180327/BrainScanner20180327_152059/,/tigress/LEIFER/PanNeuronal/2018/20180327/BrainScanner20180327_152059/LowMagBrain20180327_151539/cam1.avi,30.00003,12,15,12,42,CHIP,2649,2746
/tigress/LEIFER/PanNeuronal/2018/20180327/BrainScanner20180327_152059/,/tigress/LEIFER/PanNeuronal/2018/20180327/BrainScanner20180327_152059/LowMagBrain20180327_151539/cam1.avi,30.00003,15,28,16,13,CHIP,3345,3508
/tigress/LEIFER/PanNeuronal/2018/20180430/BrainScanner20180430_141614/,/tigress/LEIFER/PanNeuronal/2018/20180430/BrainScanner20180430_141614/LowMagBrain20180430_141614/cam1.avi,30.00003,9,26,10,8,CHIP,2046,2198
/tigress/LEIFER/PanNeuronal/2018/20180430/BrainScanner20180430_141614/,/tigress/LEIFER/PanNeuronal/2018/20180430/BrainScanner20180430_141614/LowMagBrain20180430_141614/cam1.avi,30.00003,11,53,12,23,CHIP,2579,2688
/tigress/LEIFER/PanNeuronal/2017/20170424/BrainScanner20170424_105620/,/tigress/LEIFER/PanNeuronal/2017/20170424/BrainScanner20170424_105620/LowMagBrain20170424_105350/cam1.avi,30.00003,5,50,6,35,,1252,1415
/tigress/LEIFER/PanNeuronal/2017/20170424/BrainScanner20170424_105620/,/tigress/LEIFER/PanNeuronal/2017/20170424/BrainScanner20170424_105620/LowMagBrain20170424_105350/cam1.avi,30.00003,9,59,10,45,,2152,2318
/tigress/LEIFER/PanNeuronal/2017/20170424/BrainScanner20170424_105620/,/tigress/LEIFER/PanNeuronal/2017/20170424/BrainScanner20170424_105620/LowMagBrain20170424_105350/cam1.avi,30.00003,17,30,17,56,,3783,3877
/tigress/LEIFER/PanNeuronal/2018/20180709/BrainScanner20180709_100433/,/tigress/LEIFER/PanNeuronal/2018/20180709/BrainScanner20180709_100433/LowMagBrain20180709_100433/cam1.avi,30.00003,0,53,1,23,,190,298
/tigress/LEIFER/PanNeuronal/2017/20170613/BrainScanner20170613_134800/,/tigress/LEIFER/PanNeuronal/2017/20170613/BrainScanner20170613_134800/LowMagBrain20170613_134236/cam1.avi,30.00003,9,33,10,5,kind oif bends during fwd locomotion ahead of omega turn,2060,2176
/tigress/LEIFER/PanNeuronal/2017/20170613/BrainScanner20170613_134800/,/tigress/LEIFER/PanNeuronal/2017/20170613/BrainScanner20170613_134800/LowMagBrain20170613_134236/cam1.avi,30.00003,10,56,11,37,,2359,2507
/tigress/LEIFER/PanNeuronal/2017/20170613/BrainScanner20170613_134800/,/tigress/LEIFER/PanNeuronal/2017/20170613/BrainScanner20170613_134800/LowMagBrain20170613_134236/cam1.avi,30.00003,12,0,12,38,,2590,2727
/tigress/LEIFER/PanNeuronal/2018/20181129/BrainScanner20181129_120339/,/tigress/LEIFER/PanNeuronal/2018/20181129/BrainScanner20181129_120339/LowMagBrain20181129_120235/ca1.avi,30.00003,16,5,17,10,,3480,3714
